Restaurant ID,Restaurant Name,Country,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
6317637,Le Petit Souffle,Philippines,Makati City,"French, Japanese, Desserts",1100,Yes,No,4.8,314
6304287,Izakaya Kikufuji,Philippines,Makati City,Japanese,1200,Yes,No,4.5,591
6300002,Heat - Edsa Shangri-La,Philippines,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000,Yes,No,4.4,270
6318506,Ooma,Philippines,Mandaluyong City,"Japanese, Sushi",1500,No,No,4.9,365
6314302,Sambo Kojin,Philippines,Mandaluyong City,"Japanese, Korean",1500,Yes,No,4.8,229
18189371,Din Tai Fung,Philippines,Mandaluyong City,Chinese,1000,No,No,4.4,336
6300781,Buffet 101,Philippines,Pasay City,"Asian, European",2000,Yes,No,4.0,520
6301290,Vikings,Philippines,Pasay City,"Seafood, Filipino, Asian, European",2000,Yes,No,4.2,677
6300010,Spiral - Sofitel Philippine Plaza Manila,Philippines,Pasay City,"European, Asian, Indian",6000,Yes,No,4.9,621
6314987,Locavore,Philippines,Pasig City,Filipino,1100,Yes,No,4.8,532
6309903,Silantro Fil-Mex,Philippines,Pasig City,"Filipino, Mexican",800,No,No,4.9,1070
6309455,Mad Mark's Creamery & Good Eats,Philippines,Pasig City,"American, Ice Cream, Desserts",900,Yes,No,4.2,488
6318433,Silantro Fil-Mex,Philippines,Quezon City,"Filipino, Mexican",800,No,No,4.8,294
6310470,Guevarra's,Philippines,San Juan City,Filipino,1000,Yes,No,4.2,458
6314605,Sodam Korean Restaurant,Philippines,San Juan City,Korean,700,No,No,4.3,223
18185059,Cafe Arabelle,Philippines,Santa Rosa,"Cafe, American, Italian, Filipino",800,No,No,3.6,29
18182702,Nonna's Pasta & Pizzeria,Philippines,Santa Rosa,"Italian, Pizza",850,No,No,4.0,72
6318213,Balay Dako,Philippines,Tagaytay City,Filipino,1200,Yes,No,4.5,211
